name,id,description,search_term,wikidata_id,wikidata_label,wikidata_description
Área de Proteção Ambiental Alto Mucuri,5483,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Alto Mucuri,Q96611275,NONE,NONE
Reserva de Desenvolvimento Sustentável Amanã,1316,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Amanã,Q25064567,Amanã Sustainable Development Reserve,protected area in the Amazon region of Brazil
Floresta Nacional Amanã,4443,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Amanã,Q10282892,Amaná National Forest,national forest in Brazil
Floresta Nacional Amapá,637,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Amapá,Q10282862,Amapá National Forest,NONE
Floresta Estadual Amapá,4804,nature reserve in Brazil (Floresta Estadual),Floresta Estadual Amapá,Q96614887,NONE,NONE
Floresta Nacional Amazonas,638,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Amazona,Q25248104,Amazonas National Forest,Brazilian national forest
Floresta Nacional Anauá,4267,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Anauá,Q90413993,Anauá National Forest,"National forest in Roraima, Brazil"
Parque Nacional Anavilhanas,601,nature reserve in Brazil (Parque Nacional),Parque Nacional Anavilhana,Q392877,Anavilhanas National Park,national park in Brazil
Reserva Extrativista Angelim,3035,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Angelim,Q96614082,NONE,NONE
Área de Proteção Ambiental Anhatomirim,939,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Anhatomirim,Q4764339,Anhatomirim Environmental Protection Area,NONE
Floresta Estadual Antimary,1160,nature reserve in Brazil (Floresta Estadual),Floresta Estadual Antimary,Q96614890,NONE,NONE
Reserva Ecológica Apiacás,2154,nature reserve in Brazil (Reserva Ecológica),Reserva Ecológica Apiacá,Q96740513,NONE,NONE
Floresta Estadual Apuí,4260,nature reserve in Brazil (Floresta Estadual),Floresta Estadual Apuí,Q96614631,NONE,NONE
Reserva Extrativista Aquariquara,3034,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Aquariquara,Q96614084,NONE,NONE
Estação Ecológica Aracuri-Esmeralda,934,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Aracuri-Esmeralda,Q10275704,Aracuri-Esmeralda Ecological Station,NONE
Parque Nacional Araguaia,591,nature reserve in Brazil (Parque Nacional),Parque Nacional Araguaia,Q4068420,Araguaia National Park,protected area in Brazilian state of Tocantins
Parque Estadual Araguaia,2264,nature reserve in Brazil (Parque Estadual),Parque Estadual Araguaia,Q3083490,Araguaia State Park,"state Park in Mato Grosso, Brazil"
Reserva Extrativista Arapiranga-Tromaí,5454,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Arapiranga-Tromaí,Q61001638,NONE,NONE
Reserva Extrativista Arapixi,4484,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Arapixi,Q10359657,Reserva Extrativista Arapixi,nature reserve in Brazil
Floresta Estadual de Rendimento Sustentado Araras,3019,nature reserve in Brazil (Floresta Estadual de Rendimento Sustentado),Floresta Estadual de Rendimento Sustentado Araras,Q96614645,NONE,NONE
Refúgio de Vida Silvestre Ararinha Azul,5572,nature reserve in Brazil (Refúgio de Vida Silvestre),Refúgio de Vida Silvestre Ararinha Azul,Q56352229,NONE,NONE
Área de Proteção Ambiental Ararinha Azul,5571,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Ararinha Azul,Q96610501,NONE,NONE
Estação Ecológica Aratinga,2715,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Aratinga,Q10275696,NONE,NONE
Parque Nacional Araucárias,4383,nature reserve in Brazil (Parque Nacional),Parque Nacional Araucária,Q4784468,Araucárias National Park,Brasilian national park
Parque Estadual Araucárias (PR),3051,nature reserve in Brazil (Parque Estadual),Parque Estadual Araucárias (PR),Q10344985,Parque Estadual Bosque das Araucárias,NONE
Parque Estadual Araucárias (SC),3547,nature reserve in Brazil (Parque Estadual),Parque Estadual Araucárias (SC),Q96740004,Reserva Particular do Patrimônio Natural Estadual Parque das Araucárias,NONE
Estação Ecológica Arêdes,5394,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Arêde,Q96614563,NONE,NONE
Reserva Extrativista Arióca Pruanã,4450,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Arióca Pruanã,Q10359660,Reserva Extrativista Arioca Pruanã,nature reserve in Brazil
Floresta Nacional Aripuanã,4848,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Aripuanã,Q24887650,Aripuanã National Forest,"national forest in Amazonas, Brazil"
Floresta Estadual Aripuanã,4259,nature reserve in Brazil (Floresta Estadual),Floresta Estadual Aripuanã,Q96614632,NONE,NONE
Reserva de Desenvolvimento Sustentável Aripuanã,4262,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Aripuanã,Q96613947,NONE,NONE
Refúgio de Vida Silvestre Arquipélago de Alcatrazes,5203,nature reserve in Brazil (Refúgio de Vida Silvestre),Refúgio de Vida Silvestre Arquipélago de Alcatrazes,Q96741151,Refúgio de Vida Silvestre do Arquipélago de Alcatrazes,NONE
Monumento Natural Arquipélago de São Pedro e São Paulo,5519,nature reserve in Brazil (Monumento Natural),Monumento Natural Arquipélago de São Pedro e São Paulo,Q96614940,NONE,NONE
Área de Proteção Ambiental Arquipelago de Trindade e Martim Vaz,5476,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Arquipelago de Trindade e Martim Vaz,Q96611584,Área de Proteção Ambiental do Arquipélago de Trindade e Martim Vaz,NONE
Área de Proteção Ambiental Arquipélago do Marajó,1362,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Arquipélago do Marajó,Q24900953,Marajó Archipelago Environmental Protection Area,protected area
Área de Proteção Ambiental Arquipélago São Pedro e São Paulo,5475,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Arquipélago São Pedro e São Paulo,Q96611282,Área de Proteção Ambiental do Arquipélago de São Pedro e São Paulo,NONE
Floresta Nacional Assungui,1297,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Assungui,Q25418809,Assungui National Forest,NONE
Monumento Natural Atalaia,5234,nature reserve in Brazil (Monumento Natural),Monumento Natural Atalaia,Q96614929,Atalaia Natural Monument,"natural monument in Pará, Brazil"
Reserva Biológica Atol das Rocas,1007,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Atol das Roca,Q4817182,Atol das Rocas Biological Reserve,Brazilian biological reserve
Reserva Extrativista Auatí-Paraná,1397,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Auatí-Paraná,Q10359659,Auatí-Paraná Extractive Reserve,Reserva Extrativista Auatí-Paraná
Reserva Biológica Augusto Ruschi,990,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Augusto Ruschi,Q4821325,Augusto Ruschi Biological Reserve,biological reserve
Estação Ecológica Avaré,6029,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Avaré,Q96614565,NONE,NONE
Parque Estadual Bacanga,762,nature reserve in Brazil (Parque Estadual),Parque Estadual Bacanga,Q10345064,Bacanga State Park,NONE
Área de Proteção Ambiental Bacia do Rio de Janeiro,1018,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Bacia do Rio de Janeiro,Q96610470,NONE,NONE
Área de Proteção Ambiental Bacia do Rio Descoberto,1304,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Bacia do Rio Descoberto,Q4838930,Bacia do Rio Descoberto Environmental Protection Area,protected area in Brazil
Área de Proteção Ambiental Bacia do Rio São Bartolomeu,1305,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Bacia do Rio São Bartolomeu,Q4838934,Bacia do Rio São Bartolomeu Environmental Protection Area,NONE
Área de Proteção Ambiental Bacia do Rio São João/Mico-Leão-Dourado,3202,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Bacia do Rio São joão/mico-leão-dourado,Q10395945,Área de Proteção Ambiental da Bacia do Rio São João - Mico Leão,NONE
Área de Proteção Ambiental Bacia Hidrográfica do Rio Machado,3423,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Bacia Hidrográfica do Rio Machado,Q96613443,NONE,NONE
Área de Proteção Ambiental Bacia Hidrográfica do Rio Uberaba,3421,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Bacia Hidrográfica do Rio Uberaba,Q96610505,NONE,NONE
Área de Proteção Ambiental Bacias do Gama e Cabeça-do-Veado,1302,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Bacias do Gama e cabeça-do-veado,Q96610503,NONE,NONE
Área de Proteção Ambiental Baía de Camamu,3564,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Baía de Camamu,Q28220648,Baía de Camamu Environmental Protection Area,"Protected area in Bahia, Brazil"
Reserva Extrativista Baía do Tubarão,5455,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Baía do Tubarão,Q61001452,NONE,NONE
Área de Proteção Ambiental Baia Negra,5212,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Baia Negra,Q96610473,Área de Proteção Ambiental Baía Negra,NONE
Área de Proteção Ambiental Bairro da Usina,953,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Bairro da Usina,Q96612237,NONE,NONE
Área de Proteção Ambiental Baixada Maranhense,785,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Baixada Maranhense,Q24884062,Baixada Maranhense Environmental Protection Area,"baixada Maranhense Environmental Protection Area, in the state of Maranhão"
Reserva Extrativista Baixo Juruá,1395,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Baixo Juruá,Q10359662,Baixo Juruá Extractive Reserve,"Extractive reserve in the state of Amazonas, Brazil. It contains an area of almost untouched Amazon rainforest inhabited by communities that rely on manioc farming, small-scale animal husbandry, fishing, hunting and gathering."
Reserva Extrativista Baixo Rio Branco-Jauaperi,4473,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Baixo Rio Branco-Jauaperi,Q96614087,NONE,NONE
Floresta Nacional Balata-Tufari,4266,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Balata-Tufari,Q24960037,Balata-Tufari National Forest,national forest in Brazil
Área de Proteção Ambiental Baleia Franca,2581,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Baleia Franca,Q16493397,Baleia Franca Environmental Protection Area,"Environmental Protection Area in Santa Catarina, Brazil"
Estação Ecológica Bananal,905,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Bananal,Q27044297,Bananal Ecological Station,"ecological station in the state of São Paulo, Brazil"
Área de Proteção Ambiental Banhado,3447,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Banhado,Q96611589,Área de Proteção Ambiental do Banhado,NONE
Refúgio de Vida Silvestre Banhado do Maçarico,5654,nature reserve in Brazil (Refúgio de Vida Silvestre),Refúgio de Vida Silvestre Banhado do Maçarico,Q96741142,NONE,NONE
Refúgio de Vida Silvestre Banhado dos Pachecos,2167,nature reserve in Brazil (Refúgio de Vida Silvestre),Refúgio de Vida Silvestre Banhado dos Pachecos,Q806560,Banhado dos Pachecos Wildlife Refuge,"wildlife refuge in the municipality of Viamão, Rio Grande do Sul, Brazil"
Área de Proteção Ambiental Banhado Grande,3040,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Banhado Grande,Q10395963,Área de Proteção Ambiental do Banhado Grande,NONE
Reserva de Desenvolvimento Sustentável Bararati,4255,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Bararati,Q96613950,NONE,NONE
Reserva de Desenvolvimento Sustentável Barreiro Anhemas,4931,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Barreiro Anhemas,Q96613952,NONE,NONE
Reserva Extrativista Barreiro das Antas,1398,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Barreiro das Anta,Q10359663,NONE,NONE
Estação Ecológica Barreiro Rico,5487,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Barreiro Rico,Q16496982,Barreiro Rico Ecological Station,NONE
Área de Proteção Ambiental Barreiro Rico,6023,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Barreiro Rico,Q96610477,NONE,NONE
Floresta Estadual Batatais,2788,nature reserve in Brazil (Floresta Estadual),Floresta Estadual Batatai,Q120714732,"Soil chemical attributes in native and exotic forest cover in source of Batatais State Forest, São Paulo, Brazil / Atributos químicos do solo em coberturas florestais nativas e exóticas no manancial da Floresta Estadual de Batatais, São Paulo, Brasi",scientific article published in 2022
Reserva Extrativista Batoque,3523,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Batoque,Q10359702,Batoque Extractive Reserve,"Extractive reserve in Ceará, Brazil"
Área de Proteção Ambiental Bica do Ipu,2800,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Bica do Ipu,Q96610506,NONE,NONE
Reserva Biológica Biodiversidade COP9 MOP4,6067,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Biodiversidade COP9 MOP4,Q96613933,NONE,NONE
Parque Estadual Biribiri,2815,nature reserve in Brazil (Parque Estadual),Parque Estadual Biribiri,Q10345051,Biribiri State Park,NONE
Parque Estadual Boguaçu,2436,nature reserve in Brazil (Parque Estadual),Parque Estadual Boguaçu,Q10345065,Boguaçu State Park,"State park in Paraná, Brazil"
Floresta Nacional Bom Futuro,639,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Bom Futuro,Q10282894,Bom Futuro National Forest,Brazilian national forest
Área de Proteção Ambiental Bonfim/Guaraíra,2563,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental bonfim/guaraíra,Q96610480,NONE,NONE
Área de Proteção Ambiental Boqueirão da Onça,5567,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Boqueirão da Onça,Q96611595,NONE,NONE
Parque Nacional Boqueirão da Onça,5115,nature reserve in Brazil (Parque Nacional),Parque Nacional Boqueirão da Onça,Q61000429,NONE,NONE
Área de Relevante Interesse Ecológico Bosque,3090,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Bosque,Q96611759,NONE,NONE
Parque Estadual Botânico do Ceará,3010,nature reserve in Brazil (Parque Estadual),Parque Estadual Botânico do Ceará,Q56695081,Parque Botânico de Caucaia,NONE
Parque Estadual Botumirim,6044,nature reserve in Brazil (Parque Estadual),Parque Estadual Botumirim,Q96740905,NONE,NONE
Área de Relevante Interesse Ecológico Buriti,1270,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Buriti,Q10395977,Buriti de Vassununga,NONE
Área de Relevante Interesse Ecológico Buriti de Vassununga,894,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Buriti de Vassununga,Q10395977,Buriti de Vassununga,NONE
Área de Proteção Ambiental Cabeceiras do Rio Cuiabá,1348,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Cabeceiras do Rio Cuiabá,Q96611048,Área de Proteção Ambiental das Cabeceiras do Rio Cuiabá,NONE
Parque Nacional Cabo Orange,592,nature reserve in Brazil (Parque Nacional),Parque Nacional Cabo Orange,Q1764854,Cabo Orange National Park,NONE
Área de Proteção Ambiental Cabreúva,973,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Cabreúva,Q96610484,NONE,NONE
Área de Proteção Ambiental Cachoeira das Andorinhas,2098,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Cachoeira das Andorinhas,Q96610485,Environmental Protection Area of Cachoeira das Andorinhas,"Environmental Protection Area of Cachoeira das Andorinhas, in Ouro Preto, state of Minas Gerais, Brazil"
Monumento Natural Cachoeira do Ferro Doido,3084,nature reserve in Brazil (Monumento Natural),Monumento Natural Cachoeira do Ferro Doido,Q96614930,NONE,NONE
Estação Ecológica Caetés,1221,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Caeté,Q96614568,NONE,NONE
Estação Ecológica Caetetus,920,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Caetetu,Q28812310,Caetetus Ecological Station,NONE
Estação Ecológica Caiuá,1183,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Caiuá,Q28220795,Caiuá Ecological Station,NONE
Área de Proteção Ambiental Cajamar,971,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Cajamar,Q96610486,NONE,NONE
Área de Proteção Ambiental Cajati,4939,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Cajati,Q28220905,Cajati Environmental Protection Area,NONE
Parque Estadual Camaquã,2292,nature reserve in Brazil (Parque Estadual),Parque Estadual Camaquã,Q10345066,Camaquã State Park,"State park in Rio Grande do Sul, Brazil"
Área de Relevante Interesse Ecológico Cambeba,5649,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Cambeba,Q96611766,NONE,NONE
Parque Estadual Caminho dos Gerais,4822,nature reserve in Brazil (Parque Estadual),Parque Estadual Caminho dos Gerai,Q28450997,Caminho dos Gerais State Park,Brazilian State Park
Parque Estadual Campinhos,2240,nature reserve in Brazil (Parque Estadual),Parque Estadual Campinho,Q10345050,Campinhos State Park,NONE
Reserva de Desenvolvimento Sustentável Campo das Mangabas,5380,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Campo das Mangabas,Q56350880,NONE,NONE
Parque Nacional Campos Amazônicos,4483,nature reserve in Brazil (Parque Nacional),Parque Nacional Campos Amazônico,Q22074185,Parque Nacional dos Campos Amazônicos,nature reserve in Brazil
Área de Proteção Ambiental Campos de Manicoré,5432,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Campos de Manicoré,Q24884449,Campos de Manicoré Environmental Protection Area,NONE
Refúgio de Vida Silvestre Campos de Palmas,4471,nature reserve in Brazil (Refúgio de Vida Silvestre),Refúgio de Vida Silvestre Campos de Palmas,Q10358527,NONE,NONE
Parque Nacional Campos Ferruginosos,5447,nature reserve in Brazil (Parque Nacional),Parque Nacional Campos Ferruginoso,Q48872015,NONE,NONE
Parque Nacional Campos Gerais,4457,nature reserve in Brazil (Parque Nacional),Parque Nacional Campos Gerai,Q5028518,Campos Gerais National Park,Brazilian national park
Área de Proteção Ambiental Cananéia - Iguape - Peruíbe,967,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Cananéia - Iguape - Peruíbe,Q5031122,Cananéia-Iguape e Peruíbe Environmental Protection Area,NONE
Floresta Nacional Canela,1290,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Canela,Q10282864,Canela National Forest,NONE
Monumento Natural Canions do Subaé,5497,nature reserve in Brazil (Monumento Natural),Monumento Natural Canions do Subaé,Q96615130,NONE,NONE
Parque Estadual Cantão,1407,nature reserve in Brazil (Parque Estadual),Parque Estadual Cantão,Q27653086,Cantão State Park,"state park in Tocantins, Brazil"
Parque Estadual Canudos,2083,nature reserve in Brazil (Parque Estadual),Parque Estadual Canudo,Q10345053,Canudos State Park,archaeological site in Brazil
Reserva de Desenvolvimento Sustentável Canumã,4333,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Canumã,Q96613953,NONE,NONE
Reserva Extrativista Canutama,5053,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Canutama,Q26761843,Canutama Extractive Reserve,"extractive reserve in the state of Amazonas, Brazil"
Floresta Estadual Canutama,5054,nature reserve in Brazil (Floresta Estadual),Floresta Estadual Canutama,Q26761874,Canutama State Forest,"state forest in the state of Amazonas, Brazil"
Floresta Nacional Capão Bonito,1298,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Capão Bonito,Q10282865,Capão Bonito National Forest,NONE
Área de Relevante Interesse Ecológico Capetinga-Taquara,1306,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico capetinga-taquara,Q65167775,NONE,NONE
Estação Ecológica Caracaraí,602,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Caracaraí,Q5037559,Caracaraí Ecological Station,NONE
Área de Proteção Ambiental Caraíva/Trancoso,1206,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental caraíva/trancoso,Q96610487,NONE,NONE
Floresta Nacional Carajás,1330,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Carajá,Q24263073,Carajás National Forest,national forest in Brazil
Parque Estadual Carlos Botelho,878,nature reserve in Brazil (Parque Estadual),Parque Estadual Carlos Botelho,Q10344986,Carlos Botelho State Park,NONE
Parque Estadual Carnaúbas,5512,nature reserve in Brazil (Parque Estadual),Parque Estadual Carnaúba,Q96740903,NONE,NONE
Estação Ecológica Castanhão,2885,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Castanhão,Q30326577,Castanhão Ecological Station,ecological station in Brazil
Reserva Extrativista Castanheira,3033,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Castanheira,Q96614088,NONE,NONE
Parque Nacional Catimbau,3462,nature reserve in Brazil (Parque Nacional),Parque Nacional Catimbau,Q2043976,Catimbau National Park,"national park in the state of Pernambuco, Brazil"
Área de Proteção Ambiental Catolé e de Fernão Velho,1050,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Catolé e de Fernão Velho,Q96611603,Área de Proteção Ambiental do Catolé e Fernão Velho,NONE
Reserva Extrativista Catuá-Ipixuna,3551,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Catuá-Ipixuna,Q96614091,NONE,NONE
Parque Estadual Caxambu (PR),2241,nature reserve in Brazil (Parque Estadual),Parque Estadual Caxambu (PR),Q18481043,NONE,NONE
Reserva Extrativista Cazumbá-Iracema,3412,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Cazumbá-Iracema,Q10359665,Cazumbá-Iracema Extractive Reserve,2002 establishments in Brazil
Floresta Estadual de Rendimento Sustentado Cedro,3038,nature reserve in Brazil (Floresta Estadual de Rendimento Sustentado),Floresta Estadual de Rendimento Sustentado Cedro,Q96614647,NONE,NONE
Estação Ecológica Cercadinho,2837,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Cercadinho,Q96614589,NONE,NONE
Parque Estadual Cerca Grande,5555,nature reserve in Brazil (Parque Estadual),Parque Estadual Cerca Grande,Q96740896,NONE,NONE
Reserva Biológica Cerradão,2955,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Cerradão,Q96613921,NONE,NONE
Área de Relevante Interesse Ecológico Cerrado Pé de Gigante,1166,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Cerrado Pé de Gigante,Q10395974,Cerrado Pé de Gigante,protected natural area in Brazil
Parque Nacional Chapada das Mesas,4417,nature reserve in Brazil (Parque Nacional),Parque Nacional Chapada das Mesa,Q5072887,Chapada das Mesas National Park,national Park in Brazil
Estação Ecológica Chapada de Nova Roma,5645,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Chapada de Nova Roma,Q96614559,NONE,NONE
Área de Proteção Ambiental Chapada do Araripe,1194,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Chapada do Araripe,Q96613422,Área de Proteção Ambiental Chapada do Araripe,NONE
Parque Nacional Chapada dos Guimarães,599,nature reserve in Brazil (Parque Nacional),Parque Nacional Chapada dos Guimarãe,Q5072892,Chapada dos Guimarães National Park,NONE
