Name,Category,Area (ha),Code,URL
APA Alto Mucuri,APA,325148,0000.31.2612,http://uc.socioambiental.org/pt-br/arp/5483
APA Altos Cursos dos Rios Gurguéia e Uruçuí-Vermelho,APA,-,,http://uc.socioambiental.org/pt-br/arp/5468
RESEX Alto Tarauacá,RESEX,151200,0000.00.0274,http://uc.socioambiental.org/pt-br/arp/1378
RDS Amanã,RDS,2350000,0000.13.0981,http://uc.socioambiental.org/pt-br/arp/1316
FLONA Amanã,FLONA,681754,0000.00.0271,http://uc.socioambiental.org/pt-br/arp/4443
FLONA Amapá,FLONA,412000,0000.00.0113,http://uc.socioambiental.org/pt-br/arp/637
FES Amapá,FES,2369400,0000.16.0885,http://uc.socioambiental.org/pt-br/arp/4804
PES Amaporã (Jurema),PES,205,0000.41.3183,http://uc.socioambiental.org/pt-br/arp/3049
FLONA Amazonas,FLONA,1573100,0000.00.0114,http://uc.socioambiental.org/pt-br/arp/638
PARNA Amazônia,PARNA,1070737,0000.00.0136,http://uc.socioambiental.org/pt-br/arp/590
RBIOSF Amazonia Central,RBIOSF,-,,http://uc.socioambiental.org/pt-br/arp/5082
FLONA Anauá,FLONA,259550,0000.00.0084,http://uc.socioambiental.org/pt-br/arp/4267
PARNA Anavilhanas,PARNA,350018,0000.00.0049,http://uc.socioambiental.org/pt-br/arp/601
ESEC Angatuba (ESEC),ESEC,1394,0000.35.2936,http://uc.socioambiental.org/pt-br/arp/888
FES Angatuba (FES),FES,1196,,http://uc.socioambiental.org/pt-br/arp/2787
RESEX Angelim,RESEX,8923.2001953125,0000.11.0743,http://uc.socioambiental.org/pt-br/arp/3035
APA Anhatomirim,APA,3000,0000.00.0001,http://uc.socioambiental.org/pt-br/arp/939
FES Antimary,FES,47064,0000.12.2048,http://uc.socioambiental.org/pt-br/arp/1160
PARNA Aparados da Serra,PARNA,10250,0000.00.0158,http://uc.socioambiental.org/pt-br/arp/881
RESEC Apiacás,RESEC,100000,,http://uc.socioambiental.org/pt-br/arp/2154
FES Apuí,FES,185946,0000.13.0998,http://uc.socioambiental.org/pt-br/arp/4260
RESEX Aquariquara,RESEX,18100,0000.11.0754,http://uc.socioambiental.org/pt-br/arp/3034
PES ARA,PES,64,0000.35.0913,http://uc.socioambiental.org/pt-br/arp/2210
ESEC Aracuri-Esmeralda,ESEC,272,0000.00.0050,http://uc.socioambiental.org/pt-br/arp/934
FES Araguaia,FES,8203,0000.52.1754,http://uc.socioambiental.org/pt-br/arp/3257
PARNA Araguaia,PARNA,557714,0000.00.0168,http://uc.socioambiental.org/pt-br/arp/591
PES Araguaia,PES,223170,0000.51.1917,http://uc.socioambiental.org/pt-br/arp/2264
PES Araguaia (PES- GO),PES,4612,0000.52.1744,http://uc.socioambiental.org/pt-br/arp/3256
RESEX Arapiranga-Tromaí,RESEX,186908,0000.00.3654,http://uc.socioambiental.org/pt-br/arp/5454
RESEX Arapixi,RESEX,133637,0000.00.0285,http://uc.socioambiental.org/pt-br/arp/4484
FERS Araras,FERS,965,0000.11.2059,http://uc.socioambiental.org/pt-br/arp/3019
REBIO Araras (REBIO),REBIO,2068,0000.33.1483,http://uc.socioambiental.org/pt-br/arp/2185
RVS Ararinha Azul,RVS,29269,0000.00.3694,http://uc.socioambiental.org/pt-br/arp/5572
APA Ararinha Azul,APA,90661,0000.00.3696,http://uc.socioambiental.org/pt-br/arp/5571
FLONA Araripe-Apodi,FLONA,38968,0000.00.0115,http://uc.socioambiental.org/pt-br/arp/1000
ESEC Aratinga,ESEC,5882,0000.43.1995,http://uc.socioambiental.org/pt-br/arp/2715
PARNA Araucárias,PARNA,12841,0000.00.0262,http://uc.socioambiental.org/pt-br/arp/4383
PES Araucárias (PR),PES,1052.13000488281,,http://uc.socioambiental.org/pt-br/arp/3051
REBIO Araucárias (REBIO),REBIO,14919,0000.00.0276,http://uc.socioambiental.org/pt-br/arp/4458
PES Araucárias (SC),PES,612.52001953125,0000.42.0788,http://uc.socioambiental.org/pt-br/arp/3547
APA Área Estuarina do Canal de Santa Cruz,APA,5292,0000.26.1929,http://uc.socioambiental.org/pt-br/arp/1255
APA Área Estuarina do Rio Beberibe,APA,-,,http://uc.socioambiental.org/pt-br/arp/1258
APA Área Estuarina do Rio Capibaribe,APA,-,,http://uc.socioambiental.org/pt-br/arp/1259
APA Área Estuarina do Rio Carro Quebrado,APA,402,,http://uc.socioambiental.org/pt-br/arp/1263
APA Área Estuarina do Rio Formoso,APA,2724,,http://uc.socioambiental.org/pt-br/arp/1262
APA Área Estuarina do Rio Itapessoca,APA,3998,,http://uc.socioambiental.org/pt-br/arp/1252
APA Área Estuarina do Rio Jaguaribe,APA,212,,http://uc.socioambiental.org/pt-br/arp/1254
APA Área Estuarina do Rio Paratibe,APA,-,,http://uc.socioambiental.org/pt-br/arp/1257
APA Área Estuarina do Rio Timbó,APA,1397,,http://uc.socioambiental.org/pt-br/arp/1256
APA Área Estuarina do Rio Una,APA,553,,http://uc.socioambiental.org/pt-br/arp/1264
APA Área Estuarina dos Rios Goiana e Megaó,APA,4776,,http://uc.socioambiental.org/pt-br/arp/1251
APA Área Estuarina dos Rios Jaboatão e Pirapama,APA,1285,,http://uc.socioambiental.org/pt-br/arp/1260
APA Área Estuarina dos Rios Sirinhaém e Maracaipe,APA,3335,,http://uc.socioambiental.org/pt-br/arp/1261
ESEC Arêdes,ESEC,1157,0000.31.2611,http://uc.socioambiental.org/pt-br/arp/5394
RESEX Arióca Pruanã,RESEX,83445,0000.00.0273,http://uc.socioambiental.org/pt-br/arp/4450
FLONA Aripuanã,FLONA,751295,0000.00.3409,http://uc.socioambiental.org/pt-br/arp/4848
FES Aripuanã,FES,336040,0000.13.0999,http://uc.socioambiental.org/pt-br/arp/4259
RDS Aripuanã,RDS,224291,0000.13.0982,http://uc.socioambiental.org/pt-br/arp/4262
REBIO Arqueológica de Guaratiba,REBIO,3600,0000.33.1482,http://uc.socioambiental.org/pt-br/arp/2186
RVS Arquipélago de Alcatrazes,RVS,67364,0000.00.3432,http://uc.socioambiental.org/pt-br/arp/5203
MONAT Arquipélago de São Pedro e São Paulo,MONAT,4726318,0000.00.3644,http://uc.socioambiental.org/pt-br/arp/5519
APA Arquipelago de Trindade e Martim Vaz,APA,33322172,0000.00.3633,http://uc.socioambiental.org/pt-br/arp/5476
APA Arquipélago do Marajó,APA,5998570,0000.15.1023,http://uc.socioambiental.org/pt-br/arp/1362
APA Arquipélago Fernando de Noronha,APA,-,,http://uc.socioambiental.org/pt-br/arp/2796
APA Arquipélago São Pedro e São Paulo,APA,40705236,,http://uc.socioambiental.org/pt-br/arp/5475
MONAT Árvores Fossilizadas do Estado do Tocantins,MONAT,32152,0000.17.1489,http://uc.socioambiental.org/pt-br/arp/2963
ESEC Assis (ESEC),ESEC,1761,0000.35.2935,http://uc.socioambiental.org/pt-br/arp/960
FES Assis (FES),FES,2816,0000.35.2937,http://uc.socioambiental.org/pt-br/arp/2768
FLONA Assungui,FLONA,729,0000.00.0077,http://uc.socioambiental.org/pt-br/arp/1297
MONAT Atalaia,MONAT,256,0000.15.3828,http://uc.socioambiental.org/pt-br/arp/5234
REBIO Atol das Rocas,REBIO,36249,0000.00.0203,http://uc.socioambiental.org/pt-br/arp/1007
RESEX Auatí-Paraná,RESEX,146950,0000.00.0220,http://uc.socioambiental.org/pt-br/arp/1397
REBIO Augusto Ruschi,REBIO,4000,0000.00.0191,http://uc.socioambiental.org/pt-br/arp/990
FES Avaré,FES,742,0000.35.2606,http://uc.socioambiental.org/pt-br/arp/1068
ESEC Avaré,ESEC,-,0000.35.2606,http://uc.socioambiental.org/pt-br/arp/6029
FES Avaré II,FES,664.84,,http://uc.socioambiental.org/pt-br/arp/5656
PES Bacanga,PES,2973,0000.21.1882,http://uc.socioambiental.org/pt-br/arp/762
APA Bacia do Cobre/São Bartolomeu,APA,2260,0000.29.0321,http://uc.socioambiental.org/pt-br/arp/2952
APA Bacia do Rio de Janeiro,APA,351300,0000.29.0305,http://uc.socioambiental.org/pt-br/arp/1018
APA Bacia do Rio Descoberto,APA,32100,0000.00.0003,http://uc.socioambiental.org/pt-br/arp/1304
APA Bacia do Rio Pratagi,APA,-,0000.27.0922,http://uc.socioambiental.org/pt-br/arp/2063
APA Bacia do Rio São Bartolomeu,APA,84100,0000.00.0004,http://uc.socioambiental.org/pt-br/arp/1305
APA Bacia do Rio São João/Mico-Leão-Dourado,APA,150700,0000.00.0005,http://uc.socioambiental.org/pt-br/arp/3202
APA Bacia Hidrográfica do Rio Machado,APA,101600,0000.31.1771,http://uc.socioambiental.org/pt-br/arp/3423
APA Bacia Hidrográfica do Rio Uberaba,APA,46300,0000.31.1772,http://uc.socioambiental.org/pt-br/arp/3421
APA Bacias do Gama e Cabeça-do-Veado,APA,25000,0000.53.1639,http://uc.socioambiental.org/pt-br/arp/1302
APA Baía de Camamu,APA,118000,0000.29.0328,http://uc.socioambiental.org/pt-br/arp/3564
APA Baía de Todos os Santos,APA,80000,0000.29.0320,http://uc.socioambiental.org/pt-br/arp/2849
RESEX Baía do Tubarão,RESEX,223917,0000.00.3653,http://uc.socioambiental.org/pt-br/arp/5455
APA Baia Negra,APA,-,,http://uc.socioambiental.org/pt-br/arp/5212
APA Bairro da Usina,APA,1018,0000.35.1711,http://uc.socioambiental.org/pt-br/arp/953
APA Baixada Maranhense,APA,1775040,0000.21.1887,http://uc.socioambiental.org/pt-br/arp/785
RESEX Baixo Juruá,RESEX,187982,0000.00.0230,http://uc.socioambiental.org/pt-br/arp/1395
RESEX Baixo Rio Branco-Jauaperi,RESEX,581163,0000.00.3693,http://uc.socioambiental.org/pt-br/arp/4473
FLONA Balata-Tufari,FLONA,1077859,0000.00.0085,http://uc.socioambiental.org/pt-br/arp/4266
APA Baleia Franca,APA,156100,0000.00.0006,http://uc.socioambiental.org/pt-br/arp/2581
ESEC Bananal,ESEC,884,0000.35.0820,http://uc.socioambiental.org/pt-br/arp/905
APA Banhado,APA,-,0000.35.1694,http://uc.socioambiental.org/pt-br/arp/3447
RVS Banhado do Maçarico,RVS,6253,0000.43.3514,http://uc.socioambiental.org/pt-br/arp/5654
RVS Banhado dos Pachecos,RVS,2543,0000.43.2006,http://uc.socioambiental.org/pt-br/arp/2167
APA Banhado Grande,APA,100000,0000.43.1988,http://uc.socioambiental.org/pt-br/arp/3040
ESEC Banhados do Iguape,ESEC,25,,http://uc.socioambiental.org/pt-br/arp/4470
RDS Bararati,RDS,113606,0000.13.0983,http://uc.socioambiental.org/pt-br/arp/4255
APA Barra do Rio Mamanguape,APA,14640,0000.00.0007,http://uc.socioambiental.org/pt-br/arp/932
RDS Barra do Una,RDS,1487,0000.35.1687,http://uc.socioambiental.org/pt-br/arp/4770
RDS Barreiro Anhemas,RDS,3175,0000.35.1688,http://uc.socioambiental.org/pt-br/arp/4931
RESEX Barreiro das Antas,RESEX,107234,0000.00.0221,http://uc.socioambiental.org/pt-br/arp/1398
ESEC Barreiro Rico,ESEC,292,0000.35.1672,http://uc.socioambiental.org/pt-br/arp/5487
APA Barreiro Rico,APA,-,0000.35.3885,http://uc.socioambiental.org/pt-br/arp/6023
FES Batatais,FES,1353,,http://uc.socioambiental.org/pt-br/arp/2788
RESEX Batoque,RESEX,602,0000.00.0231,http://uc.socioambiental.org/pt-br/arp/3523
FES Bebedouro,FES,99,,http://uc.socioambiental.org/pt-br/arp/2789
APA Bica do Ipu,APA,3484.65991210938,0000.23.0954,http://uc.socioambiental.org/pt-br/arp/2800
REBIO Biodiversidade COP9 MOP4,REBIO,-,0000.41.3333,http://uc.socioambiental.org/pt-br/arp/6067
PES Biribiri,PES,16998.69921875,0000.31.0388,http://uc.socioambiental.org/pt-br/arp/2815
ESEC Bita e Utinga,ESEC,2467,0000.26.3314,http://uc.socioambiental.org/pt-br/arp/5482
PARNA Boa Nova,PARNA,12065,0000.00.1908,http://uc.socioambiental.org/pt-br/arp/4697
RVS Boa Nova (RVS),RVS,15024,0000.00.1907,http://uc.socioambiental.org/pt-br/arp/4698
PES Boguaçu,PES,6052,0000.41.0514,http://uc.socioambiental.org/pt-br/arp/2436
FLONA Bom Futuro,FLONA,97357,0000.00.0116,http://uc.socioambiental.org/pt-br/arp/639
RDS Bom Jardim,RDS,1678,,http://uc.socioambiental.org/pt-br/arp/5558
REBIO Bom Jesus,REBIO,34179,0000.00.2634,http://uc.socioambiental.org/pt-br/arp/5302
APA Bonfim/Guaraíra,APA,-,0000.24.1471,http://uc.socioambiental.org/pt-br/arp/2563
APA Boqueirão da Onça,APA,505692,0000.00.3655,http://uc.socioambiental.org/pt-br/arp/5567
PARNA Boqueirão da Onça,PARNA,347557,0000.00.3652,http://uc.socioambiental.org/pt-br/arp/5115
APA Boqueirão do Rio Poti,APA,-,,http://uc.socioambiental.org/pt-br/arp/6069
ARIE Bosque,ARIE,-,0000.53.1646,http://uc.socioambiental.org/pt-br/arp/3090
PES Botânico do Ceará,PES,190,0000.23.1931,http://uc.socioambiental.org/pt-br/arp/3010
FES Botucatu,FES,34,,http://uc.socioambiental.org/pt-br/arp/1072
PES Botumirim,PES,-,0000.31.3866,http://uc.socioambiental.org/pt-br/arp/6044
ESEC Bracinho,ESEC,42389.01,,http://uc.socioambiental.org/pt-br/arp/2272
FLONA Brasília (FLONA),FLONA,9343,0000.00.0086,http://uc.socioambiental.org/pt-br/arp/2529
PARNA Brasília (PARNA),PARNA,42389,0000.00.0159,http://uc.socioambiental.org/pt-br/arp/1279
ARIE Buriti,ARIE,81.5199966430664,0000.41.0543,http://uc.socioambiental.org/pt-br/arp/1270
ARIE Buriti de Vassununga,ARIE,150,0000.00.0030,http://uc.socioambiental.org/pt-br/arp/894
RBIOSF Caatinga,RBIOSF,-,,http://uc.socioambiental.org/pt-br/arp/5614
CEC Caatinga,CEC,-,,http://uc.socioambiental.org/pt-br/arp/4472
PES Cabeça do Cachorro (ARIE),PES,126,0000.41.0542,http://uc.socioambiental.org/pt-br/arp/1269
RVS Cabeceiras do Capibaribe,RVS,-,0000.26.4192,http://uc.socioambiental.org/pt-br/arp/6062
APA Cabeceiras do Rio Cuiabá,APA,473411,0000.51.0453,http://uc.socioambiental.org/pt-br/arp/1348
PARNA Cabo Orange,PARNA,657318,0000.00.0169,http://uc.socioambiental.org/pt-br/arp/592
APA Cabreúva,APA,26100,0000.35.1695,http://uc.socioambiental.org/pt-br/arp/973
FLONA Caçador (FLONA),FLONA,710,0000.00.0078,http://uc.socioambiental.org/pt-br/arp/1293
PES Cachoeira da Fumaça (PES),PES,-,0000.32.1831,http://uc.socioambiental.org/pt-br/arp/1021
APA Cachoeira das Andorinhas,APA,18700,0000.31.0399,http://uc.socioambiental.org/pt-br/arp/2098
MONAT Cachoeira do Ferro Doido,MONAT,400,0000.29.0295,http://uc.socioambiental.org/pt-br/arp/3084
MONAT Cachoeira do Rio Batateira,MONAT,-,,http://uc.socioambiental.org/pt-br/arp/6077
APA Cachoeira do Urubu,APA,3063,,http://uc.socioambiental.org/pt-br/arp/3055
ESEC Caetés,ESEC,157,0000.26.0964,http://uc.socioambiental.org/pt-br/arp/1221
ESEC Caetetus,ESEC,2179,0000.35.0857,http://uc.socioambiental.org/pt-br/arp/920
APA Cafuringa,APA,46510,0000.53.1640,http://uc.socioambiental.org/pt-br/arp/1301
APA Cairuçu,APA,33800,0000.00.0013,http://uc.socioambiental.org/pt-br/arp/942
ESEC Caiuá,ESEC,1427,0000.41.3047,http://uc.socioambiental.org/pt-br/arp/1183
APA Cajamar,APA,13400,0000.35.1696,http://uc.socioambiental.org/pt-br/arp/971
APA Cajati,APA,2975.71,0000.35.1697,http://uc.socioambiental.org/pt-br/arp/4939
FES Cajuru,FES,1910,,http://uc.socioambiental.org/pt-br/arp/1079
PES Camaquã,PES,7993,0000.43.3736,http://uc.socioambiental.org/pt-br/arp/2292
ARIE Cambeba,ARIE,2185,0000.23.3807,http://uc.socioambiental.org/pt-br/arp/5649
PES Caminho dos Gerais,PES,56237,0000.31.1776,http://uc.socioambiental.org/pt-br/arp/4822
APA Caminhos Ecológicos da Boa Esperança,APA,230296,0000.29.0301,http://uc.socioambiental.org/pt-br/arp/3565
RDS Campina,RDS,179943,,http://uc.socioambiental.org/pt-br/arp/6104
PES Campina do Encantado,PES,2359,0000.35.0854,http://uc.socioambiental.org/pt-br/arp/850
PES Campinhos,PES,581,0000.41.0513,http://uc.socioambiental.org/pt-br/arp/2240
RDS Campo das Mangabas,RDS,7062,0000.15.3481,http://uc.socioambiental.org/pt-br/arp/5380
PES Campos Altos,PES,782,0000.31.0889,http://uc.socioambiental.org/pt-br/arp/5522
PARNA Campos Amazônicos,PARNA,961320,0000.00.0284,http://uc.socioambiental.org/pt-br/arp/4483
APA Campos de Manicoré,APA,151993,0000.00.3407,http://uc.socioambiental.org/pt-br/arp/5432
RVS Campos de Palmas,RVS,16582,0000.00.0278,http://uc.socioambiental.org/pt-br/arp/4471
APA Campos do Jordão (APA),APA,28800,0000.35.1698,http://uc.socioambiental.org/pt-br/arp/972
PES Campos do Jordão (PES),PES,8386,0000.35.0800,http://uc.socioambiental.org/pt-br/arp/1063
PARNA Campos Ferruginosos,PARNA,79029,0000.00.3519,http://uc.socioambiental.org/pt-br/arp/5447
PARNA Campos Gerais,PARNA,21286,0000.00.0277,http://uc.socioambiental.org/pt-br/arp/4457
APA Cananéia - Iguape - Peruíbe,APA,202832,0000.00.0014,http://uc.socioambiental.org/pt-br/arp/967
RESEX Canavieiras,RESEX,100646,0000.00.0253,http://uc.socioambiental.org/pt-br/arp/4481
FLONA Canela,FLONA,518,0000.00.0087,http://uc.socioambiental.org/pt-br/arp/1290
REBIO Canela Preta,REBIO,1899,,http://uc.socioambiental.org/pt-br/arp/1153
PES Cânion Cearense do Rio Poti,PES,-,,http://uc.socioambiental.org/pt-br/arp/6068
PES Cânion do Rio Poti,PES,8,,http://uc.socioambiental.org/pt-br/arp/3058
MONAT Canions do Subaé,MONAT,404,0000.29.1014,http://uc.socioambiental.org/pt-br/arp/5497
RVS Canjerana,RVS,48,,http://uc.socioambiental.org/pt-br/arp/3096
PES Cantão,PES,90017.8984375,0000.17.1487,http://uc.socioambiental.org/pt-br/arp/1407
PES Cantareira,PES,-,0000.35.0844,http://uc.socioambiental.org/pt-br/arp/5002
PES Canudos,PES,1321,,http://uc.socioambiental.org/pt-br/arp/2083
RDS Canumã,RDS,22354.900390625,0000.13.0984,http://uc.socioambiental.org/pt-br/arp/4333
RESEX Canutama,RESEX,197986,0000.13.1733,http://uc.socioambiental.org/pt-br/arp/5053
FES Canutama,FES,150588,0000.13.1737,http://uc.socioambiental.org/pt-br/arp/5054
FLONA Capão Bonito,FLONA,4344,0000.00.0079,http://uc.socioambiental.org/pt-br/arp/1298
PARNA Caparaó,PARNA,31853,0000.00.0160,http://uc.socioambiental.org/pt-br/arp/999
ARIE Capetinga-Taquara,ARIE,2100,0000.00.0031,http://uc.socioambiental.org/pt-br/arp/1306
ESEC Caracaraí,ESEC,80560,,http://uc.socioambiental.org/pt-br/arp/602
PES Caracol,PES,100,,http://uc.socioambiental.org/pt-br/arp/2293
APA Caraíva/Trancoso,APA,31900,0000.29.0310,http://uc.socioambiental.org/pt-br/arp/1206
FLONA Carajás,FLONA,351632,0000.00.0088,http://uc.socioambiental.org/pt-br/arp/1330
ESEC Carijós,ESEC,712,0000.00.0052,http://uc.socioambiental.org/pt-br/arp/1102
APA Cariri,APA,-,0000.25.0902,http://uc.socioambiental.org/pt-br/arp/4700
PES Carlos Botelho,PES,37644,0000.35.0810,http://uc.socioambiental.org/pt-br/arp/878
PES Carnaúbas,PES,10005,0000.23.1933,http://uc.socioambiental.org/pt-br/arp/5512
APA Carste de Lagoa Santa,APA,35600,0000.00.0020,http://uc.socioambiental.org/pt-br/arp/1108
MONAT Casa de Pedra,MONAT,-,0000.23.4129,http://uc.socioambiental.org/pt-br/arp/6074
RESEX Cassurubá,RESEX,100687,0000.00.1808,http://uc.socioambiental.org/pt-br/arp/4778
ESEC Castanhão,ESEC,12579,0000.00.0066,http://uc.socioambiental.org/pt-br/arp/2885
RESEX Castanheira,RESEX,10200,0000.11.0753,http://uc.socioambiental.org/pt-br/arp/3033
PARNA Catimbau,PARNA,62300,0000.00.0170,http://uc.socioambiental.org/pt-br/arp/3462
APA Catolé e de Fernão Velho,APA,5415,0000.27.0920,http://uc.socioambiental.org/pt-br/arp/1050
RESEX Catuá-Ipixuna,RESEX,217486,0000.13.0991,http://uc.socioambiental.org/pt-br/arp/3551
PES Caverna do Diabo,PES,40219.66,0000.35.1675,http://uc.socioambiental.org/pt-br/arp/4928
APA Caverna do Maroaga (Presidente Figueiredo),APA,374700,0000.13.0993,http://uc.socioambiental.org/pt-br/arp/790
APA Cavernas do Peruaçu (APA),APA,143866,0000.00.0002,http://uc.socioambiental.org/pt-br/arp/951
PARNA Cavernas do Peruaçu (PARNA),PARNA,56800,0000.00.0135,http://uc.socioambiental.org/pt-br/arp/2562
PES Caxambu (PR),PES,968,0000.41.0534,http://uc.socioambiental.org/pt-br/arp/2241
FLONA Caxiuanã,FLONA,200000,0000.00.0089,http://uc.socioambiental.org/pt-br/arp/640
RESEX Cazumbá-Iracema,RESEX,750795,0000.00.0232,http://uc.socioambiental.org/pt-br/arp/3412
FERS Cedro,FERS,2566.73999023438,0000.11.0763,http://uc.socioambiental.org/pt-br/arp/3038
CEC Central da Amazônia,CEC,52159206.176325,,http://uc.socioambiental.org/pt-br/arp/5119
MONAT Centro Geodésico da América Latina,MONAT,44,,http://uc.socioambiental.org/pt-br/arp/5629
ESEC Cercadinho,ESEC,224,0000.31.0936,http://uc.socioambiental.org/pt-br/arp/2837
PES Cerca Grande,PES,134,0000.31.2594,http://uc.socioambiental.org/pt-br/arp/5555
REBIO Cerradão,REBIO,54,0000.53.1647,http://uc.socioambiental.org/pt-br/arp/2955
PES Cerrado,PES,1830.4,0000.41.0499,http://uc.socioambiental.org/pt-br/arp/1185
RBIOSF Cerrado do Distrito Federal,RBIOSF,226000,,http://uc.socioambiental.org/pt-br/arp/3128
ARIE Cerrado Pé de Gigante,ARIE,1060,0000.00.0032,http://uc.socioambiental.org/pt-br/arp/1166
PES Chácara da Baronesa,PES,34,,http://uc.socioambiental.org/pt-br/arp/903
PES Chacrinha (PES),PES,13,,http://uc.socioambiental.org/pt-br/arp/2107
PES Chandless,PES,695303,0000.12.0939,http://uc.socioambiental.org/pt-br/arp/3556
ESEC Chapada da Serra Branca,ESEC,21588,,http://uc.socioambiental.org/pt-br/arp/5650
PARNA Chapada das Mesas,PARNA,160046,0000.00.0272,http://uc.socioambiental.org/pt-br/arp/4417
ESEC Chapada de Nova Roma,ESEC,6811,0000.52.3991,http://uc.socioambiental.org/pt-br/arp/5645
PARNA Chapada Diamantina,PARNA,152000,0000.00.0137,http://uc.socioambiental.org/pt-br/arp/978
APA Chapada do Araripe,APA,1063000,0000.00.0008,http://uc.socioambiental.org/pt-br/arp/1194
PARNA Chapada dos Guimarães,PARNA,33000,0000.00.0138,http://uc.socioambiental.org/pt-br/arp/599
APA Chapada dos Guimarães,APA,251848,0000.51.0461,http://uc.socioambiental.org/pt-br/arp/1142
PARNA Chapada dos Veadeiros,PARNA,240611,0000.00.0139,http://uc.socioambiental.org/pt-br/arp/1277
RESEX Chapada Limpa,RESEX,11971,0000.00.1564,http://uc.socioambiental.org/pt-br/arp/4776
FLONA Chapecó,FLONA,1607,0000.00.0080,http://uc.socioambiental.org/pt-br/arp/1294
PES Charapucu,PES,65181,0000.15.2042,http://uc.socioambiental.org/pt-br/arp/5130
ESEC Chauás,ESEC,2700,0000.35.0817,http://uc.socioambiental.org/pt-br/arp/965
RESEX Chico Mendes,RESEX,970570,0000.00.0222,http://uc.socioambiental.org/pt-br/arp/626
RESEX Chocoaré - Mato Grosso,RESEX,2786,0000.00.0223,http://uc.socioambiental.org/pt-br/arp/3468
RBIOSF Cinturão Verde,RBIOSF,-,,http://uc.socioambiental.org/pt-br/arp/6089
RESEX Ciriaco,RESEX,8084,0000.00.1519,http://uc.socioambiental.org/pt-br/arp/630
APA Cochá e Gibão,APA,296423,0000.31.0894,http://uc.socioambiental.org/pt-br/arp/5065
